id,created,modified,name,date,active,room_x_size,room_y_size,center_point_x,center_point_y,introduction_video_type,introduction_questions,exp_type,language,qr_codes,cycle_time,phase,num_waiting,num_cycles
24,2023-10-14 12:57:43.83723+00,2023-10-14 13:01:01.831554+00,movement 8 6 V,2023-10-14 12:57:11.462,f,20,20,,,,,notablet,,f,,created,,
39,2023-10-14 13:18:53.138705+00,2023-10-14 13:22:56.246613+00,movement 2 9 V,2023-10-14 13:18:15.172,f,20,20,,,,,notablet,,f,,created,,
1,2023-09-20 14:15:09.902639+00,2023-10-02 13:41:11.537245+00,test experiment,2023-09-20 14:15:16.142,f,20,20,,,,,notablet,,f,,created,,
25,2023-10-14 12:57:48.48785+00,2023-10-14 13:01:58.56391+00,movement 8 7.5 V,2023-10-14 12:57:11.462,f,20,20,,,,,notablet,,f,,created,,
2,2023-10-02 13:41:02.111631+00,2023-10-14 12:16:17.574971+00,my experiment,2023-10-02 13:40:32.04,f,20,20,,,,,notablet,,f,,created,,
47,2023-10-14 13:33:16.70022+00,2023-10-14 13:34:14.602902+00,movement 6.5perp 3 V,2023-10-14 13:31:58.741,f,20,20,,,,,notablet,,f,,created,,
3,2023-10-14 12:16:16.129754+00,2023-10-14 12:20:17.976597+00,stationary 1,2023-10-14 12:15:55.296,f,20,20,,,,,notablet,,f,,created,,
26,2023-10-14 12:57:53.311917+00,2023-10-14 13:02:47.798988+00,movement 8 9 V,2023-10-14 12:57:11.462,f,20,20,,,,,notablet,,f,,created,,
4,2023-10-14 12:20:09.39274+00,2023-10-14 12:23:31.238095+00,stationary 1 real,2023-10-14 12:19:49.232,f,20,20,,,,,notablet,,f,,created,,
40,2023-10-14 13:18:56.833692+00,2023-10-14 13:23:37.377499+00,movement 2 12 V,2023-10-14 13:18:15.172,f,20,20,,,,,notablet,,f,,created,,
5,2023-10-14 12:24:26.705317+00,2023-10-14 12:26:17.67919+00,stationary 2,2023-10-14 12:24:07.042,f,20,20,,,,,notablet,,f,,created,,
27,2023-10-14 12:57:57.993716+00,2023-10-14 13:03:42.810018+00,movement 8 12 V,2023-10-14 12:57:11.462,f,20,20,,,,,notablet,,f,,created,,
6,2023-10-14 12:27:02.844124+00,2023-10-14 12:29:04.950622+00,stationary 3,2023-10-14 12:26:43.423,f,20,20,,,,,notablet,,f,,created,,
7,2023-10-14 12:29:30.44857+00,2023-10-14 12:29:30.448571+00,stationary 4,2023-10-14 12:29:01.477,f,20,20,,,,,notablet,,f,,created,,
8,2023-10-14 12:30:15.258+00,2023-10-14 12:31:14.443889+00,stationary 5,2023-10-14 12:29:55.057,f,20,20,,,,,notablet,,f,,created,,
9,2023-10-14 12:31:33.274146+00,2023-10-14 12:33:08.209921+00,stationary 6,2023-10-14 12:31:11.028,f,20,20,,,,,notablet,,f,,created,,
11,2023-10-14 12:43:46.434554+00,2023-10-14 12:44:22.703083+00,movement 5 4.5 V,2023-10-14 12:43:24.932,f,20,20,,,,,notablet,,f,,created,,
12,2023-10-14 12:45:10.48236+00,2023-10-14 12:45:36.232338+00,movement 5 6 V,2023-10-14 12:44:47.75,f,20,20,,,,,notablet,,f,,created,,
13,2023-10-14 12:46:35.978273+00,2023-10-14 12:47:05.107502+00,movement 5 7.5 V,2023-10-14 12:46:09.751,f,20,20,,,,,notablet,,f,,created,,
14,2023-10-14 12:47:36.483465+00,2023-10-14 12:48:00.162002+00,movement 5 9 V,2023-10-14 12:47:07.15,f,20,20,,,,,notablet,,f,,created,,
28,2023-10-14 13:08:57.238263+00,2023-10-14 13:10:07.566453+00,movement 9 3 V,2023-10-14 13:08:36.538,f,20,20,,,,,notablet,,f,,created,,
15,2023-10-14 12:48:32.363875+00,2023-10-14 12:49:06.952686+00,movement 5 12 V,2023-10-14 12:48:02.362,f,20,20,,,,,notablet,,f,,created,,
16,2023-10-14 12:50:04.779639+00,2023-10-14 12:50:50.613955+00,movement 1 3 V,2023-10-14 12:49:44.297,f,20,20,,,,,notablet,,f,,created,,
17,2023-10-14 12:51:11.354343+00,2023-10-14 12:51:43.301068+00,movement 1 4.5 V,2023-10-14 12:50:51.189,f,20,20,,,,,notablet,,f,,created,,
34,2023-10-14 13:11:23.836745+00,2023-10-14 13:12:00.639457+00,movement 9 3 V real,2023-10-14 13:10:53.978,f,20,20,,,,,notablet,,f,,created,,
18,2023-10-14 12:52:28.200721+00,2023-10-14 12:52:50.132902+00,movement 1 6 V,2023-10-14 12:51:35.631,f,20,20,,,,,notablet,,f,,created,,
19,2023-10-14 12:53:31.141603+00,2023-10-14 12:53:52.199+00,movement 1 7.5 V,2023-10-14 12:52:47.447,f,20,20,,,,,notablet,,f,,created,,
29,2023-10-14 13:09:04.887235+00,2023-10-14 13:13:37.143727+00,movement 9 4.5 V,2023-10-14 13:08:36.538,f,20,20,,,,,notablet,,f,,created,,
20,2023-10-14 12:54:08.222196+00,2023-10-14 12:54:38.062934+00,movement 1 9 V,2023-10-14 12:53:46.688,f,20,20,,,,,notablet,,f,,created,,
21,2023-10-14 12:54:12.287902+00,2023-10-14 12:55:26.093169+00,movement 1 12 V,2023-10-14 12:53:46.688,f,20,20,,,,,notablet,,f,,created,,
30,2023-10-14 13:09:14.440755+00,2023-10-14 13:14:27.062796+00,movement 9 6 V,2023-10-14 13:08:36.538,f,20,20,,,,,notablet,,f,,created,,
22,2023-10-14 12:57:31.30266+00,2023-10-14 12:58:53.47643+00,movement 8 3 V,2023-10-14 12:57:11.462,f,20,20,,,,,notablet,,f,,created,,
23,2023-10-14 12:57:39.350284+00,2023-10-14 12:59:56.270742+00,movement 8 4.5 V,2023-10-14 12:57:11.462,f,20,20,,,,,notablet,,f,,created,,
31,2023-10-14 13:09:21.908777+00,2023-10-14 13:15:12.671663+00,movement 9 7.5 V,2023-10-14 13:08:36.538,f,20,20,,,,,notablet,,f,,created,,
58,2023-10-14 13:39:16.498002+00,2023-10-14 13:43:23.905316+00,movement 11perp 12 V,2023-10-14 13:38:33.822,f,20,20,,,,,notablet,,f,,created,,
32,2023-10-14 13:09:27.19047+00,2023-10-14 13:15:53.376727+00,movement 9 9 V,2023-10-14 13:08:36.538,f,20,20,,,,,notablet,,f,,created,,
41,2023-10-14 13:25:45.681602+00,2023-10-14 13:27:08.726962+00,movement 1perp 3 V,2023-10-14 13:25:04.49,f,20,20,,,,,notablet,,f,,created,,
33,2023-10-14 13:09:32.118671+00,2023-10-14 13:16:39.015227+00,movement 9 12 V,2023-10-14 13:08:36.538,f,20,20,,,,,notablet,,f,,created,,
10,2023-10-14 12:40:44.036771+00,2023-10-14 12:43:24.09945+00,movement 5 3 V,2023-10-14 12:39:29.548,f,20,20,,,,,notablet,,f,,created,,
48,2023-10-14 13:33:21.709689+00,2023-10-14 13:34:54.850214+00,movement 6.5perp 4.5 V,2023-10-14 13:31:58.741,f,20,20,,,,,notablet,,f,,created,,
35,2023-10-14 13:18:35.426795+00,2023-10-14 13:19:48.178066+00,movement 2 3 V,2023-10-14 13:18:15.172,f,20,20,,,,,notablet,,f,,created,,
53,2023-10-14 13:38:53.657915+00,2023-10-14 13:39:46.029986+00,movement 11perp 3 V,2023-10-14 13:38:33.822,f,20,20,,,,,notablet,,f,,created,,
36,2023-10-14 13:18:40.321449+00,2023-10-14 13:20:35.850895+00,movement 2 4.5 V,2023-10-14 13:18:15.172,f,20,20,,,,,notablet,,f,,created,,
49,2023-10-14 13:33:26.158609+00,2023-10-14 13:35:28.938752+00,movement 6.5perp 6 V,2023-10-14 13:31:58.741,f,20,20,,,,,notablet,,f,,created,,
37,2023-10-14 13:18:45.485095+00,2023-10-14 13:21:28.07636+00,movement 2 6 V,2023-10-14 13:18:15.172,f,20,20,,,,,notablet,,f,,created,,
42,2023-10-14 13:25:50.097875+00,2023-10-14 13:28:41.947494+00,movement 1perp 4.5 V,2023-10-14 13:25:04.49,f,20,20,,,,,notablet,,f,,created,,
38,2023-10-14 13:18:49.413151+00,2023-10-14 13:22:12.915093+00,movement 2 7.5 V,2023-10-14 13:18:15.172,f,20,20,,,,,notablet,,f,,created,,
43,2023-10-14 13:25:53.691734+00,2023-10-14 13:29:25.373319+00,movement 1perp 6 V,2023-10-14 13:25:04.49,f,20,20,,,,,notablet,,f,,created,,
50,2023-10-14 13:33:30.192884+00,2023-10-14 13:36:07.650204+00,movement 6.5perp 7.5 V,2023-10-14 13:31:58.741,f,20,20,,,,,notablet,,f,,created,,
44,2023-10-14 13:25:57.801391+00,2023-10-14 13:29:59.430365+00,movement 1perp 7.5 V,2023-10-14 13:25:04.49,f,20,20,,,,,notablet,,f,,created,,
54,2023-10-14 13:38:59.391874+00,2023-10-14 13:40:42.865027+00,movement 11perp 4.5 V,2023-10-14 13:38:33.822,f,20,20,,,,,notablet,,f,,created,,
45,2023-10-14 13:26:03.882377+00,2023-10-14 13:30:31.20461+00,movement 1perp 9 V,2023-10-14 13:25:04.49,f,20,20,,,,,notablet,,f,,created,,
51,2023-10-14 13:33:35.988378+00,2023-10-14 13:37:00.173607+00,movement 6.5perp 9 V,2023-10-14 13:31:58.741,f,20,20,,,,,notablet,,f,,created,,
46,2023-10-14 13:26:07.979376+00,2023-10-14 13:31:19.866129+00,movement 1perp 12 V,2023-10-14 13:25:04.49,f,20,20,,,,,notablet,,f,,created,,
52,2023-10-14 13:33:40.709392+00,2023-10-14 13:37:26.891779+00,movement 6.5perp 12 V,2023-10-14 13:31:58.741,f,20,20,,,,,notablet,,f,,created,,
55,2023-10-14 13:39:03.914592+00,2023-10-14 13:41:32.039427+00,movement 11perp 6 V,2023-10-14 13:38:33.822,f,20,20,,,,,notablet,,f,,created,,
56,2023-10-14 13:39:07.909679+00,2023-10-14 13:42:08.578218+00,movement 11perp 7.5 V,2023-10-14 13:38:33.822,f,20,20,,,,,notablet,,f,,created,,
57,2023-10-14 13:39:13.363697+00,2023-10-14 13:42:44.797276+00,movement 11perp 9 V,2023-10-14 13:38:33.822,f,20,20,,,,,notablet,,f,,created,,
60,2023-10-14 13:44:29.156599+00,2023-10-14 13:47:21.925229+00,movement diag 4.5 V,2023-10-14 13:44:04.046,f,20,20,,,,,notablet,,f,,created,,
62,2023-10-14 13:44:39.747015+00,2023-10-14 13:49:19.490809+00,movement diag 7.5 V,2023-10-14 13:44:04.046,f,20,20,,,,,notablet,,f,,created,,
59,2023-10-14 13:44:24.54872+00,2023-10-14 13:46:20.949641+00,movement diag 3 V,2023-10-14 13:44:04.046,f,20,20,,,,,notablet,,f,,created,,
64,2023-10-14 13:44:48.045898+00,2023-10-14 13:51:11.939124+00,movement diag 12 V,2023-10-14 13:44:04.046,f,20,20,,,,,notablet,,f,,created,,
61,2023-10-14 13:44:33.135907+00,2023-10-14 13:48:26.465723+00,movement diag 6 V,2023-10-14 13:44:04.046,f,20,20,,,,,notablet,,f,,created,,
63,2023-10-14 13:44:44.080168+00,2023-10-14 13:50:19.894868+00,movement diag 9 V,2023-10-14 13:44:04.046,f,20,20,,,,,notablet,,f,,created,,
65,2023-10-21 09:30:10.311949+00,2023-10-21 10:58:17.844332+00,empty test experiment,2023-10-21 09:29:32.873,f,20,20,,,,,notablet,,f,,created,,
67,2023-10-21 12:32:14.849048+00,2023-10-21 12:37:54.394179+00,STATIONARY,2023-10-21 12:31:22.181,f,20,20,,,,,notablet,,f,,created,,
68,2023-10-21 12:39:23.83593+00,2023-10-21 12:40:56.56404+00,STATIONARY 2,2023-10-21 12:38:53.362,f,20,20,,,,,notablet,,f,,created,,
69,2023-10-21 12:41:42.630769+00,2023-10-21 12:46:02.335585+00,sampling rate 1,2023-10-21 12:41:13.161,f,20,20,,,,,notablet,,f,,created,,
70,2023-10-21 12:47:57.131792+00,2023-10-21 12:49:21.355448+00,headbands,2023-10-21 12:47:28.339,f,20,20,,,,,notablet,,f,,created,,
71,2023-10-21 12:49:32.35128+00,2023-10-21 12:50:39.998489+00,headbands around center,2023-10-21 12:49:02.721,f,20,20,,,,,notablet,,f,,created,,
72,2023-10-21 12:50:51.955774+00,2023-10-21 12:52:00.57294+00,headbands around center shortest in middle,2023-10-21 12:50:22.534,f,20,20,,,,,notablet,,f,,created,,
73,2023-10-21 12:52:39.912655+00,2023-10-21 12:54:13.360338+00,headbands middle of sides,2023-10-21 12:52:09.969,f,20,20,,,,,notablet,,f,,created,,
74,2023-10-21 12:54:33.356245+00,2023-10-21 12:55:36.057855+00,headbands in the corner,2023-10-21 12:53:58.442,f,20,20,,,,,notablet,,f,,created,,
75,2023-10-21 12:55:57.149404+00,2023-10-21 12:57:00.577098+00,headbands in the corner 2,2023-10-21 12:55:27.085,f,20,20,,,,,notablet,,f,,created,,
76,2023-10-21 12:57:19.070227+00,2023-10-21 12:58:51.627119+00,headbands in the corner 2 tags replace,2023-10-21 12:56:41.897,f,20,20,,,,,notablet,,f,,created,,
77,2023-10-21 12:59:04.790087+00,2023-10-21 13:00:23.113883+00,headbands in the corner 2 tags replace 2,2023-10-21 12:58:34.472,f,20,20,,,,,notablet,,f,,created,,
78,2023-10-21 13:01:05.499254+00,2023-10-21 13:02:01.31183+00,headbands in the corner 2 giovanni to niels,2023-10-21 13:00:35.845,f,20,20,,,,,notablet,,f,,created,,
79,2023-10-21 13:03:44.070714+00,2023-10-21 13:05:06.424155+00,headbands rotating middle,2023-10-21 13:03:21.864,f,20,20,,,,,notablet,,f,,created,,
80,2023-10-21 13:05:27.968744+00,2023-10-21 13:06:35.133623+00,headbands tablets facing anchors,2023-10-21 13:04:57.608,f,20,20,,,,,notablet,,f,,created,,
81,2023-10-21 13:07:06.73524+00,2023-10-21 13:09:30.153174+00,headbands walk around grid,2023-10-21 13:06:35.979,f,20,20,,,,,notablet,,f,,created,,
83,2023-10-25 12:17:34.004129+00,2023-10-25 13:25:21.658465+00,tests 25 okt,2023-10-25 13:07:19.57,t,20,20,,,,,batch,english,f,600,stopped,9,1
82,2023-10-21 13:13:13.303544+00,2023-10-25 08:58:05.330278+00,tablet batch experiment,2023-10-21 13:09:13.515,f,20,20,,,,,batch,english,f,120,stopped,1,1
66,2023-10-21 10:58:11.631816+00,2023-10-25 12:18:01.03283+00,test experiment 25 tablets,2023-10-21 10:55:42.416,f,20,20,,,,,batch,english,f,600,created,"0",1
